Place Name,State,County,Lat,Long,Zip Code
Middlefield,MA,Hampshire,42.3561,-73.0104,1243
Mill River,MA,Berkshire,42.1228,-73.254,1244
Monterey,MA,Berkshire,42.1867,-73.2065,1245
North Adams,MA,Berkshire,42.6955,-73.08,1247
North Egremont,MA,Berkshire,42.1986,-73.4462,1252
Otis,MA,Berkshire,42.1931,-73.0918,1253
Richmond,MA,Berkshire,42.3784,-73.3645,1254
Sandisfield,MA,Berkshire,42.1094,-73.1163,1255
Savoy,MA,Berkshire,42.577,-73.0233,1256
Sheffield,MA,Berkshire,42.1001,-73.3611,1257
South Egremont,MA,Berkshire,42.1012,-73.4566,1258
Southfield,MA,Berkshire,42.078,-73.2609,1259
South Lee,MA,Berkshire,42.2779,-73.2773,1260
Stockbridge,MA,Berkshire,42.301,-73.3223,1262
Stockbridge,MA,Berkshire,42.3929,-73.2285,1263
Tyringham,MA,Berkshire,42.22,-73.1979,1264
West Stockbridge,MA,Berkshire,42.3348,-73.3825,1266
Williamstown,MA,Berkshire,42.7089,-73.2036,1267
Windsor,MA,Berkshire,42.515,-73.0412,1270
Greenfield,MA,Franklin,42.6013,-72.6236,1301
Greenfield,MA,Franklin,42.5222,-72.6242,1302
Ashfield,MA,Franklin,42.5232,-72.811,1330
Athol,MA,Worcester,42.5959,-72.2267,1331
Bernardston,MA,Franklin,42.6952,-72.5772,1337
Buckland,MA,Franklin,42.5736,-72.8213,1338
Charlemont,MA,Franklin,42.608,-72.8901,1339
Colrain,MA,Franklin,42.679,-72.7265,1340
Conway,MA,Franklin,42.5138,-72.7025,1341
Deerfield,MA,Franklin,42.5406,-72.6072,1342
Drury,MA,Berkshire,42.6427,-72.9862,1343
Erving,MA,Franklin,42.6076,-72.4292,1344
Heath,MA,Franklin,42.6853,-72.8391,1346
Lake Pleasant,MA,Franklin,42.5566,-72.5181,1347
Millers Falls,MA,Franklin,42.582,-72.4926,1349
Monroe Bridge,MA,Franklin,42.7215,-72.9762,1350
Montague,MA,Franklin,42.5429,-72.5328,1351
Gill,MA,Franklin,42.6404,-72.4995,1354
New Salem,MA,Franklin,42.5146,-72.3062,1355
Northfield,MA,Franklin,42.6887,-72.451,1360
Orange,MA,Franklin,42.6129,-72.2924,1364
Petersham,MA,Worcester,42.4898,-72.1893,1366
Rowe,MA,Franklin,42.6953,-72.9258,1367
Royalston,MA,Worcester,42.6722,-72.1964,1368
Shelburne Falls,MA,Franklin,42.6022,-72.7391,1370
South Deerfield,MA,Franklin,42.4756,-72.6153,1373
Sunderland,MA,Franklin,42.4539,-72.5676,1375
Turners Falls,MA,Franklin,42.5954,-72.5557,1376
Warwick,MA,Franklin,42.6671,-72.3397,1378
Wendell,MA,Franklin,42.5656,-72.4009,1379
Wendell Depot,MA,Franklin,42.5534,-72.3927,1380
Fitchburg,MA,Worcester,42.5796,-71.8031,1420
Ashburnham,MA,Worcester,42.6496,-71.9267,1430
Ashby,MA,Middlesex,42.6745,-71.8174,1431
Ayer,MA,Middlesex,42.5591,-71.5788,1432
Devens,MA,Worcester,42.5385,-71.6115,1434
Baldwinville,MA,Worcester,42.5936,-72.0646,1436
East Templeton,MA,Worcester,42.5631,-72.037,1438
Gardner,MA,Worcester,42.574,-71.9898,1440
Westminster,MA,Worcester,42.5459,-71.9106,1441
Groton,MA,Middlesex,42.6124,-71.5584,1450
Harvard,MA,Worcester,42.4986,-71.5753,1451
Hubbardston,MA,Worcester,42.4865,-72.0012,1452
Leominster,MA,Worcester,42.5274,-71.7563,1453
Littleton,MA,Middlesex,42.5401,-71.4877,1460
Lunenburg,MA,Worcester,42.5884,-71.7266,1462
Pepperell,MA,Middlesex,42.6689,-71.5934,1463
Shirley,MA,Middlesex,42.5734,-71.6483,1464
Still River,MA,Worcester,42.4871,-71.6131,1467
Templeton,MA,Worcester,42.546,-72.065,1468
Townsend,MA,Middlesex,42.6525,-71.6896,1469
Groton,MA,Middlesex,42.6112,-71.5745,1470
Groton,MA,Middlesex,42.6112,-71.5745,1471
West Groton,MA,Middlesex,42.6043,-71.6273,1472
Westminster,MA,Worcester,42.5483,-71.9096,1473
West Townsend,MA,Middlesex,42.6678,-71.7522,1474
Winchendon,MA,Worcester,42.6789,-72.0475,1475
Auburn,MA,Worcester,42.2055,-71.8391,1501
Berlin,MA,Worcester,42.3844,-71.6356,1503
Blackstone,MA,Worcester,42.0287,-71.5269,1504
Boylston,MA,Worcester,42.3377,-71.731,1505
Brookfield,MA,Worcester,42.1991,-72.0989,1506
Charlton,MA,Worcester,42.1379,-71.9664,1507
Charlton City,MA,Worcester,42.1459,-71.9884,1508
Charlton Depot,MA,Worcester,42.1731,-71.9787,1509
Clinton,MA,Worcester,42.4181,-71.6828,1510
East Brookfield,MA,Worcester,42.2193,-72.0481,1515
Douglas,MA,Worcester,42.0528,-71.7509,1516
Fiskdale,MA,Worcester,42.1228,-72.1178,1518
Grafton,MA,Worcester,42.2004,-71.6868,1519
Holden,MA,Worcester,42.342,-71.8414,1520
Holland,MA,Hampden,42.0403,-72.1544,1521
Jefferson,MA,Worcester,42.3755,-71.8706,1522
Lancaster,MA,Worcester,42.451,-71.6868,1523
Leicester,MA,Worcester,42.237,-71.9188,1524
Linwood,MA,Worcester,42.0973,-71.6448,1525
Manchaug,MA,Worcester,42.0945,-71.7476,1526
Millbury,MA,Worcester,42.1968,-71.7644,1527
Millville,MA,Worcester,42.0331,-71.5798,1529
New Braintree,MA,Worcester,42.3198,-72.1306,1531
Northborough,MA,Worcester,42.3182,-71.6464,1532
Northbridge,MA,Worcester,42.1494,-71.6564,1534
North Brookfield,MA,Worcester,42.2665,-72.0821,1535
North Grafton,MA,Worcester,42.2297,-71.7037,1536
North Oxford,MA,Worcester,42.1655,-71.886,1537
North Uxbridge,MA,Worcester,42.0876,-71.6412,1538
Oxford,MA,Worcester,42.1129,-71.8687,1540
Princeton,MA,Worcester,42.4508,-71.8762,1541
Rochdale,MA,Worcester,42.1997,-71.9069,1542
Rutland,MA,Worcester,42.3762,-71.949,1543
Shrewsbury,MA,Worcester,42.2848,-71.7205,1545
Shrewsbury,MA,Worcester,42.3648,-71.8969,1546
Southbridge,MA,Worcester,42.075,-72.0353,1550
South Grafton,MA,Worcester,42.176,-71.6927,1560
South Lancaster,MA,Worcester,42.4435,-71.6861,1561
Spencer,MA,Worcester,42.2441,-71.9906,1562
Sterling,MA,Worcester,42.4354,-71.7752,1564
Sturbridge,MA,Worcester,42.1126,-72.0842,1566
Upton,MA,Worcester,42.1756,-71.6032,1568
Uxbridge,MA,Worcester,42.0744,-71.6329,1569
Webster,MA,Worcester,42.0521,-71.8486,1570
Dudley,MA,Worcester,42.0489,-71.8932,1571
Westborough,MA,Worcester,42.2679,-71.6176,1581
West Boylston,MA,Worcester,42.3584,-71.7838,1583
West Brookfield,MA,Worcester,42.2441,-72.1511,1585
West Millbury,MA,Worcester,42.1712,-71.8037,1586
Whitinsville,MA,Worcester,42.1153,-71.6644,1588
Sutton,MA,Worcester,42.1266,-71.7552,1590
Worcester,MA,Worcester,42.2626,-71.8023,1601
Worcester,MA,Worcester,42.2703,-71.8417,1602
Worcester,MA,Worcester,42.245,-71.838,1603
Worcester,MA,Worcester,42.2541,-71.7746,1604
Worcester,MA,Worcester,42.2894,-71.7888,1605
Worcester,MA,Worcester,42.311,-71.7958,1606
Worcester,MA,Worcester,42.2303,-71.7938,1607
Worcester,MA,Worcester,42.2624,-71.8003,1608
Worcester,MA,Worcester,42.2826,-71.8277,1609
Worcester,MA,Worcester,42.2492,-71.8108,1610
Cherry Valley,MA,Worcester,42.2373,-71.875,1611
Paxton,MA,Worcester,42.3066,-71.9202,1612
Worcester,MA,Worcester,42.2933,-71.802,1613
Worcester,MA,Worcester,42.2626,-71.8023,1614
Worcester,MA,Worcester,42.2626,-71.8023,1615
Worcester,MA,Worcester,42.3648,-71.8969,1653
Worcester,MA,Worcester,42.3648,-71.8969,1655
Framingham,MA,Middlesex,42.3007,-71.4255,1701
Framingham,MA,Middlesex,42.2822,-71.4339,1702
Framingham,MA,Middlesex,42.4464,-71.4594,1703
Framingham,MA,Middlesex,42.4464,-71.4594,1704
Framingham,MA,Middlesex,42.4464,-71.4594,1705
Acton,MA,Middlesex,42.4851,-71.4328,1718
Boxborough,MA,Middlesex,42.4884,-71.5178,1719
Acton,MA,Middlesex,42.4751,-71.4483,1720
Ashland,MA,Middlesex,42.2539,-71.4583,1721
Bedford,MA,Middlesex,42.4843,-71.2768,1730
Hanscom Afb,MA,Middlesex,42.4567,-71.2795,1731
Bolton,MA,Worcester,42.4365,-71.6076,1740
Carlisle,MA,Middlesex,42.5286,-71.3519,1741
Concord,MA,Middlesex,42.4567,-71.3747,1742
Fayville,MA,Worcester,42.2934,-71.5028,1745
Holliston,MA,Middlesex,42.2026,-71.4361,1746
Hopedale,MA,Worcester,42.1268,-71.5376,1747
Hopkinton,MA,Middlesex,42.219,-71.5302,1748
Hudson,MA,Middlesex,42.3918,-71.5609,1749
Marlborough,MA,Middlesex,42.3509,-71.5434,1752
Maynard,MA,Middlesex,42.4321,-71.455,1754
Mendon,MA,Worcester,42.0967,-71.5499,1756
Milford,MA,Worcester,42.1511,-71.5274,1757
Natick,MA,Middlesex,42.2875,-71.3574,1760
Sherborn,MA,Middlesex,42.2331,-71.3787,1770
Southborough,MA,Worcester,42.2939,-71.532,1772
Lincoln,MA,Middlesex,42.4217,-71.3137,1773
Stow,MA,Middlesex,42.4308,-71.515,1775
Sudbury,MA,Middlesex,42.3837,-71.4282,1776
Wayland,MA,Middlesex,42.3486,-71.3588,1778
Woodville,MA,Middlesex,42.2376,-71.562,1784
Woburn,MA,Middlesex,42.4829,-71.1574,1801
Burlington,MA,Middlesex,42.5089,-71.2004,1803
Burlington,MA,Middlesex,42.5048,-71.1956,1805
Andover,MA,Essex,42.6496,-71.1565,1810
Andover,MA,Essex,42.6472,-71.1842,1812
Woburn,MA,Middlesex,42.4793,-71.1523,1813
Woburn,MA,Middlesex,42.4793,-71.1523,1815
Billerica,MA,Middlesex,42.5519,-71.2518,1821
Billerica,MA,Middlesex,42.5584,-71.2689,1822
Chelmsford,MA,Middlesex,42.5911,-71.3556,1824
Dracut,MA,Middlesex,42.6764,-71.3186,1826
Dunstable,MA,Middlesex,42.6739,-71.4952,1827
Haverhill,MA,Essex,42.7856,-71.0721,1830
Haverhill,MA,Essex,42.7711,-71.1221,1831
Haverhill,MA,Essex,42.7792,-71.1095,1832
Georgetown,MA,Essex,42.7281,-70.9822,1833
Groveland,MA,Essex,42.753,-71.027,1834
Haverhill,MA,Essex,42.7528,-71.0843,1835
Lawrence,MA,Essex,42.708,-71.1638,1840
Lawrence,MA,Essex,42.7115,-71.167,1841
Lawrence,MA,Essex,42.707,-71.1631,1842
Lawrence,MA,Essex,42.6911,-71.1605,1843
Methuen,MA,Essex,42.728,-71.181,1844
North Andover,MA,Essex,42.6826,-71.109,1845
Lowell,MA,Middlesex,42.656,-71.3051,1850
Lowell,MA,Middlesex,42.6315,-71.3329,1851
Lowell,MA,Middlesex,42.6344,-71.2983,1852
Lowell,MA,Middlesex,42.6334,-71.3162,1853
Lowell,MA,Middlesex,42.6493,-71.3355,1854
Merrimac,MA,Essex,42.8346,-71.0047,1860
North Billerica,MA,Middlesex,42.5757,-71.2902,1862
North Chelmsford,MA,Middlesex,42.6347,-71.3908,1863
North Reading,MA,Middlesex,42.5819,-71.0947,1864
Nutting Lake,MA,Middlesex,42.5379,-71.2689,1865
Pinehurst,MA,Middlesex,42.5293,-71.2281,1866
Reading,MA,Middlesex,42.528,-71.109,1867
Tewksbury,MA,Middlesex,42.6028,-71.2232,1876
Tyngsboro,MA,Middlesex,42.6724,-71.4158,1879
Wakefield,MA,Middlesex,42.5009,-71.0685,1880
West Boxford,MA,Essex,42.707,-71.0639,1885
Westford,MA,Middlesex,42.5864,-71.4401,1886
Wilmington,MA,Middlesex,42.5581,-71.1723,1887
Woburn,MA,Middlesex,42.4793,-71.1523,1888
North Reading,MA,Middlesex,42.5716,-71.1096,1889
Winchester,MA,Middlesex,42.453,-71.1441,1890
Andover,MA,Essex,42.6584,-71.137,1899
Lynn,MA,Essex,42.4612,-70.9467,1901
Lynn,MA,Essex,42.4698,-70.942,1902
Lynn,MA,Essex,42.4668,-70.9495,1903
Lynn,MA,Essex,42.4889,-70.9647,1904
Lynn,MA,Essex,42.4694,-70.9728,1905
Saugus,MA,Essex,42.4633,-71.0111,1906
Swampscott,MA,Essex,42.4746,-70.9098,1907
Nahant,MA,Essex,42.4261,-70.9277,1908
Lynn,MA,Essex,42.4548,-70.9747,1910
Amesbury,MA,Essex,42.8559,-70.9367,1913
Beverly,MA,Essex,42.5608,-70.8759,1915
Boxford,MA,Essex,42.6797,-71.0114,1921
Byfield,MA,Essex,42.7568,-70.9351,1922
Danvers,MA,Essex,42.5694,-70.9425,1923
Essex,MA,Essex,42.6286,-70.7828,1929
Gloucester,MA,Essex,42.6208,-70.6721,1930
Gloucester,MA,Essex,42.6159,-70.662,1931
Hamilton,MA,Essex,42.6354,-70.8791,1936
Hathorne,MA,Essex,42.6354,-70.8791,1937
Ipswich,MA,Essex,42.6809,-70.8494,1938
Lynnfield,MA,Essex,42.5327,-71.0339,1940
Manchester,MA,Essex,42.5796,-70.7674,1944
Marblehead,MA,Essex,42.4984,-70.8653,1945
Middleton,MA,Essex,42.5942,-71.013,1949
Newburyport,MA,Essex,42.813,-70.8847,1950
Newbury,MA,Essex,42.7835,-70.8474,1951
Salisbury,MA,Essex,42.8507,-70.8588,1952
Peabody,MA,Essex,42.5326,-70.9612,1960
Peabody,MA,Essex,42.6354,-70.8791,1961
Prides Crossing,MA,Essex,42.5581,-70.8257,1965
Rockport,MA,Essex,42.658,-70.6194,1966
Rowley,MA,Essex,42.7138,-70.907,1969
Salem,MA,Essex,42.5151,-70.9003,1970
Salem,MA,Essex,42.6354,-70.8791,1971
South Hamilton,MA,Essex,42.6185,-70.8561,1982
Topsfield,MA,Essex,42.6415,-70.9488,1983
Wenham,MA,Essex,42.6017,-70.8786,1984
West Newbury,MA,Essex,42.7949,-70.9778,1985
Accord,MA,Plymouth,42.1745,-70.8837,2018
Bellingham,MA,Norfolk,42.0746,-71.4768,2019
Brant Rock,MA,Plymouth,42.0818,-70.6439,2020
Canton,MA,Norfolk,42.1645,-71.1355,2021
Cohasset,MA,Norfolk,42.2395,-70.8128,2025
Dedham,MA,Norfolk,42.2437,-71.1637,2026
Dedham,MA,Norfolk,42.18,-71.0892,2027
Dover,MA,Norfolk,42.2362,-71.2854,2030
East Walpole,MA,Norfolk,42.1532,-71.2179,2032
Foxboro,MA,Norfolk,42.0649,-71.2441,2035
Franklin,MA,Norfolk,42.0935,-71.4058,2038
Greenbush,MA,Plymouth,42.1793,-70.7495,2040
Green Harbor,MA,Plymouth,42.0696,-70.6491,2041
Hingham,MA,Plymouth,42.2245,-70.8911,2043
Hingham,MA,Plymouth,42.2418,-70.8898,2044
Hull,MA,Plymouth,42.2853,-70.8754,2045
Humarock,MA,Plymouth,42.1428,-70.6935,2047
Mansfield,MA,Bristol,42.0212,-71.2178,2048
Marshfield,MA,Plymouth,42.1062,-70.6993,2050
Marshfield Hills,MA,Plymouth,42.1512,-70.7341,2051
Medfield,MA,Norfolk,42.1845,-71.3048,2052
Medway,MA,Norfolk,42.1514,-71.4217,2053
Millis,MA,Norfolk,42.1669,-71.3607,2054
Minot,MA,Plymouth,42.2404,-70.762,2055
Norfolk,MA,Norfolk,42.1177,-71.3269,2056
North Marshfield,MA,Plymouth,42.1432,-70.7703,2059
North Scituate,MA,Plymouth,42.219,-70.7856,2060
Norwell,MA,Plymouth,42.1596,-70.8217,2061
Norwood,MA,Norfolk,42.1868,-71.2033,2062
Ocean Bluff,MA,Plymouth,42.0972,-70.6516,2065
Scituate,MA,Plymouth,42.2032,-70.7525,2066
Sharon,MA,Norfolk,42.1094,-71.1759,2067
Sheldonville,MA,Norfolk,42.0348,-71.387,2070
South Walpole,MA,Norfolk,42.0992,-71.2752,2071
Stoughton,MA,Norfolk,42.1253,-71.1074,2072
Walpole,MA,Norfolk,42.1444,-71.2544,2081
Westwood,MA,Norfolk,42.2148,-71.2104,2090
Wrentham,MA,Norfolk,42.0617,-71.3396,2093
Boston,MA,Suffolk,42.3576,-71.0684,2108
Boston,MA,Suffolk,42.36,-71.0545,2109
Boston,MA,Suffolk,42.3576,-71.0514,2110
Boston,MA,Suffolk,42.3503,-71.0629,2111
Boston,MA,Suffolk,42.3584,-71.0598,2112
Boston,MA,Suffolk,42.3657,-71.056,2113
Boston,MA,Suffolk,42.3611,-71.0682,2114
Boston,MA,Suffolk,42.3427,-71.0922,2115
Boston,MA,Suffolk,42.3492,-71.0768,2116
Boston,MA,Suffolk,42.3585,-71.058,2117
Boston,MA,Suffolk,42.3362,-71.0729,2118
Roxbury,MA,Suffolk,42.3251,-71.0953,2119
Roxbury Crossing,MA,Suffolk,42.3307,-71.0912,2120
Dorchester,MA,Suffolk,42.2973,-71.0745,2121
Dorchester,MA,Suffolk,42.2973,-71.0745,2122
Boston,MA,Suffolk,42.3389,-70.9196,2123
Dorchester Center,MA,Suffolk,42.2918,-71.0717,2124
Dorchester,MA,Suffolk,42.2973,-71.0745,2125
Mattapan,MA,Suffolk,42.2739,-71.0939,2126
Boston,MA,Suffolk,42.3347,-71.0375,2127
Boston,MA,Suffolk,42.3642,-71.0257,2128
Charlestown,MA,Suffolk,42.3778,-71.0627,2129
Jamaica Plain,MA,Suffolk,42.3126,-71.1115,2130
Roslindale,MA,Suffolk,42.2836,-71.1295,2131
West Roxbury,MA,Suffolk,42.2787,-71.1589,2132
Boston,MA,Suffolk,42.3584,-71.0598,2133
Allston,MA,Suffolk,42.3535,-71.1329,2134
Brighton,MA,Suffolk,42.3478,-71.1566,2135
Hyde Park,MA,Suffolk,42.254,-71.1261,2136
Readville,MA,Suffolk,42.2404,-71.137,2137
Cambridge,MA,Middlesex,42.377,-71.1256,2138
Cambridge,MA,Middlesex,42.3647,-71.1042,2139
Cambridge,MA,Middlesex,42.3932,-71.1338,2140
Cambridge,MA,Middlesex,42.3687,-71.0836,2141
Cambridge,MA,Middlesex,42.362,-71.083,2142
Somerville,MA,Middlesex,42.3829,-71.1028,2143
Somerville,MA,Middlesex,42.4003,-71.1221,2144
Somerville,MA,Middlesex,42.3907,-71.0929,2145
Malden,MA,Middlesex,42.4291,-71.0605,2148
Everett,MA,Middlesex,42.4112,-71.0514,2149
Chelsea,MA,Suffolk,42.3963,-71.0325,2150
Revere,MA,Suffolk,42.4138,-71.0052,2151
Winthrop,MA,Suffolk,42.3763,-70.98,2152
Medford,MA,Middlesex,42.4184,-71.1062,2153
Medford,MA,Middlesex,42.4173,-71.1087,2155
West Medford,MA,Middlesex,42.4223,-71.1328,2156
Boston,MA,Suffolk,42.3253,-71.1122,2163
Quincy,MA,Norfolk,42.2491,-70.9978,2169
Quincy,MA,Norfolk,42.2671,-71.0186,2170
Quincy,MA,Norfolk,42.2825,-71.0241,2171
Melrose,MA,Middlesex,42.4581,-71.0632,2176
Stoneham,MA,Middlesex,42.4828,-71.0978,2180
Braintree,MA,Norfolk,42.2093,-70.9963,2184
Braintree,MA,Norfolk,42.18,-71.0892,2185
Milton,MA,Norfolk,42.2537,-71.0771,2186
Milton Village,MA,Norfolk,42.2668,-71.0717,2187
Weymouth,MA,Norfolk,42.2113,-70.9582,2188
East Weymouth,MA,Norfolk,42.214,-70.9203,2189
South Weymouth,MA,Norfolk,42.1751,-70.9495,2190
North Weymouth,MA,Norfolk,42.2459,-70.9467,2191
Boston,MA,Suffolk,42.3584,-71.0598,2196
Boston,MA,Suffolk,42.3479,-71.0825,2199
Boston,MA,Suffolk,42.3584,-71.0598,2201
Boston,MA,Suffolk,42.3615,-71.0604,2203
Boston,MA,Suffolk,42.3389,-70.9196,2204
Boston,MA,Suffolk,42.3503,-71.0539,2205
Boston,MA,Suffolk,42.3389,-70.9196,2206
Boston,MA,Suffolk,42.3489,-71.0465,2210
Boston,MA,Suffolk,42.3584,-71.0598,2211
Boston,MA,Middlesex,42.3584,-71.0598,2212
Boston,MA,Suffolk,42.3471,-71.1027,2215
Boston,MA,Suffolk,42.3389,-70.9196,2217
Boston,MA,Suffolk,42.3644,-71.0633,2222
Cambridge,MA,Middlesex,42.3751,-71.1056,2238
Boston,MA,Suffolk,42.3584,-71.0598,2241
Boston,MA,Suffolk,42.3584,-71.0598,2266
Quincy,MA,Norfolk,42.2529,-71.0023,2269
Boston,MA,Suffolk,42.3389,-70.9196,2283
Boston,MA,Suffolk,42.3389,-70.9196,2284
Boston,MA,Suffolk,42.3584,-71.0598,2293
Boston,MA,Suffolk,42.3584,-71.0598,2297
Boston,MA,Suffolk,42.3823,-71.0323,2298
Brockton,MA,Plymouth,42.0794,-71.04,2301
Brockton,MA,Plymouth,42.0847,-71.0002,2302
Brockton,MA,Plymouth,42.0834,-71.0184,2303
Brockton,MA,Plymouth,42.0834,-71.0184,2304
Brockton,MA,Plymouth,42.0834,-71.0184,2305
Avon,MA,Norfolk,42.1258,-71.0437,2322
Bridgewater,MA,Plymouth,41.9773,-70.9723,2324
Bridgewater,MA,Plymouth,41.9873,-70.9728,2325
Bryantville,MA,Plymouth,42.0407,-70.8272,2327
Carver,MA,Plymouth,41.8883,-70.7678,2330
Duxbury,MA,Plymouth,41.9705,-70.7014,2331
Duxbury,MA,Plymouth,42.0399,-70.7163,2332
East Bridgewater,MA,Plymouth,42.0315,-70.945,2333
