State,Zip Code,Place Name,County,Lat,Long
WV,25851,Harper,Raleigh,37.8025,-81.2828
NM,88433,Quay,Quay,34.9167,-103.7782
FL,33907,Fort Myers,Lee,26.5681,-81.8736
IN,46074,Westfield,Hamilton,40.0489,-86.1499
OK,73038,Fort Cobb,Caddo,35.1161,-98.4303
CA,95232,Glencoe,Calaveras,38.3554,-120.5778
RI,2837,Little Compton,Newport,41.522,-71.1612
OK,74730,Calera,Bryan,33.9322,-96.4308
IN,46319,Griffith,Lake,41.5335,-87.4228
CA,94268,Sacramento,Sacramento,38.5816,-121.4944
OR,97722,Diamond,Harney,42.9508,-118.695
NJ,7932,Florham Park,Morris,40.7757,-74.3928
WI,54489,Vesper,Wood,44.4677,-89.9826
AL,35815,Huntsville,Madison,34.734,-86.5229
FL,33877,Waverly,Polk,27.9769,-81.6144
NM,87747,Springer,Colfax,36.3767,-104.5927
OH,45333,Houston,Shelby,40.2535,-84.3521
NY,11040,New Hyde Park,Nassau,40.7294,-73.6828
TX,76472,Santo,Palo Pinto,32.5979,-98.1797
KY,41311,Beattyville,Lee,37.5999,-83.714
FL,33481,Boca Raton,Palm Beach,26.3587,-80.0831
NY,12992,West Chazy,Clinton,44.797,-73.5112
FL,32417,Panama City,Bay,30.1595,-85.6598
SD,57534,Hamill,Tripp,43.6439,-99.6918
PA,16321,East Hickory,Forest,41.584,-79.4017
GA,30427,Glennville,Tattnall,31.9467,-81.9483
CA,95461,Middletown,Lake,38.7824,-122.6487
MI,48219,Detroit,Wayne,42.426,-83.2495
TX,75496,Wolfe City,Hunt,33.3605,-96.0691
OH,45041,Miamitown,Hamilton,39.2159,-84.7041
CA,94578,San Leandro,Alameda,37.7024,-122.124
VA,24015,Roanoke,Roanoke (city),37.2584,-79.9807
VT,5250,Arlington,Bennington,43.0857,-73.1594
GA,30099,Duluth,Gwinnett,33.9595,-84.105
AL,36010,Brundidge,Pike,31.7013,-85.8177
AL,36441,Flomaton,Escambia,31.0402,-87.2664
TX,78543,Elsa,Hidalgo,26.2974,-97.9884
NY,13489,West Leyden,Lewis,43.4597,-75.5127
NC,27705,Durham,Durham,36.0218,-78.9478
FL,33305,Fort Lauderdale,Broward,26.1497,-80.1229
KS,67347,Havana,Montgomery,37.0917,-95.9414
ND,58207,Grand Forks,Grand Forks,47.9253,-97.0329
MS,39562,Moss Point,Jackson,30.5471,-88.4927
WI,53179,Trevor,Kenosha,42.5201,-88.1387
CA,91204,Glendale,Los Angeles,34.1379,-118.2599
IN,46385,Valparaiso,Porter,41.4706,-87.0783
TX,77864,Madisonville,Madison,30.9533,-95.9091
MN,55435,Minneapolis,Hennepin,44.8735,-93.3346
NC,27892,Williamston,Martin,35.8212,-77.1022
IN,46904,Kokomo,Howard,40.4696,-86.1189
PA,18690,Dallas,Luzerne,41.3362,-75.9633
NY,13648,Harrisville,Lewis,44.1613,-75.3252
AZ,85923,Clay Springs,Navajo,34.3617,-110.2954
MS,38722,Arcola,Washington,33.2698,-90.8798
TX,77432,Danevang,Wharton,29.067,-96.1976
FL,33181,Miami,Miami-Dade,25.8965,-80.157
WA,98203,Everett,Snohomish,47.9419,-122.2218
ND,58768,Norwich,McHenry,48.2491,-100.9712
NY,12873,Shushan,Washington,43.1106,-73.3231
OH,44431,Leetonia,Columbiana,40.8631,-80.7585
AL,35125,Pell City,St. Clair,33.5979,-86.3432
MN,55806,Duluth,St. Louis,46.7715,-92.1279
PA,17815,Bloomsburg,Columbia,41.0115,-76.4384
MS,39602,Brookhaven,Lincoln,31.5334,-90.4907
OR,97463,Oakridge,Lane,43.7376,-122.4377
VA,22038,Fairfax,Fairfax (city),38.8528,-77.302
VT,5255,Manchester Center,Bennington,43.1693,-73.0474
WV,24726,Herndon,Wyoming,37.5054,-81.3404
CT,6510,New Haven,New Haven,41.3087,-72.9271
WV,25260,Mason,Mason,39.0064,-82.0282
NY,12588,Walker Valley,Ulster,41.6337,-74.3779
OH,45270,Cincinnati,Hamilton,39.1668,-84.5382
IN,46407,Gary,Lake,41.5804,-87.335
NY,13505,Utica,Oneida,43.1009,-75.2327
WI,54217,Luxemburg,Kewaunee,44.5506,-87.7156
MI,49650,Lake Ann,Benzie,44.7317,-85.8528
KS,67101,Maize,Sedgwick,37.7747,-97.4689
ME,4676,Sedgwick,Hancock,44.3355,-68.6377
NE,69027,Enders,Chase,40.4655,-101.5222
TX,77095,Houston,Harris,29.8941,-95.6481
NV,89067,Moapa,Clark,36.6591,-114.6656
OK,74540,Daisy,Atoka,34.5384,-95.7088
MO,65013,Belle,Maries,38.2711,-91.7303
IL,62858,Louisville,Clay,38.7718,-88.5065
SC,29729,Richburg,Chester,34.6822,-80.9891
OH,45685,Thurman,Gallia,38.8705,-82.4063
WV,25401,Martinsburg,Berkeley,39.4567,-77.9727
FL,32351,Quincy,Gadsden,30.5867,-84.6094
AR,71667,Star City,Lincoln,33.9405,-91.8653
IN,47588,Troy,Spencer,38.0331,-86.7981
CA,96107,Coleville,Mono,38.5029,-119.4828
NJ,7042,Montclair,Essex,40.8131,-74.2165
OR,97307,Keizer,Marion,44.9901,-123.0262
MA,2740,New Bedford,Bristol,41.6347,-70.9372
ME,4230,East Poland,Androscoggin,44.0627,-70.327
CA,95612,Clarksburg,Yolo,38.3945,-121.5641
CA,92637,Laguna Woods,Orange,33.6103,-117.7253
VA,22067,Greenway,Fairfax,38.9645,-77.2331
AZ,85331,Cave Creek,Maricopa,33.8851,-111.9349
WA,98569,Ocean Shores,Grays Harbor,46.9737,-124.1563
IL,62736,Springfield,Sangamon,39.7495,-89.606
MI,48726,Cass City,Tuscola,43.5797,-83.1733
IA,50058,Coon Rapids,Carroll,41.894,-94.68
MO,64642,Gilman City,Daviess,40.145,-93.832
ME,4554,New Harbor,Lincoln,43.8605,-69.5079
OH,45840,Findlay,Hancock,41.0449,-83.6457
IL,60131,Franklin Park,Cook,41.9339,-87.8734
TX,76444,De Leon,Comanche,32.1087,-98.5489
IN,47201,Columbus,Bartholomew,39.2055,-85.9317
FL,32221,Jacksonville,Duval,30.2837,-81.8202
OR,97413,Blue River,Lane,44.1755,-122.1217
PA,16833,Curwensville,Clearfield,40.966,-78.5272
MA,1718,Acton,Middlesex,42.4851,-71.4328
NC,28691,Valle Crucis,Watauga,36.2092,-81.7789
KY,42028,Burna,Livingston,37.2392,-88.3379
NY,12919,Champlain,Clinton,44.9773,-73.4466
LA,70090,Vacherie,St. James,29.9694,-90.7097
MI,48178,South Lyon,Oakland,42.4567,-83.659
VA,23842,Disputanta,Prince George,37.1483,-77.2732
MA,2222,Boston,Suffolk,42.3644,-71.0633
NE,69144,Keystone,Keith,41.2621,-101.6282
MO,63386,West Alton,Saint Charles,38.8758,-90.2384
TX,75219,Dallas,Dallas,32.8132,-96.8142
AL,35660,Sheffield,Colbert,34.7578,-87.6971
CA,95967,Paradise,Butte,39.7155,-121.6551
NY,14711,Belfast,Allegany,42.32,-78.0943
MS,38850,Houlka,Chickasaw,34.0561,-89.0531
NY,11762,Massapequa Park,Nassau,40.6807,-73.4444
OH,43933,Jacobsburg,Belmont,39.9372,-80.888
IA,52638,Middletown,Des Moines,40.8296,-91.2631
IL,61233,Andover,Henry,41.2954,-90.2905
TX,79010,Boys Ranch,Oldham,35.5314,-102.2541
CA,93543,Littlerock,Los Angeles,34.4891,-117.9708
IL,62830,Dix,Jefferson,38.4333,-88.9657
FL,33061,Pompano Beach,Broward,26.2539,-80.1342
UT,84745,La Verkin,Washington,37.2316,-113.2446
MD,20618,Bushwood,St. Mary's,38.2844,-76.7929
IL,61741,Forrest,Livingston,40.7513,-88.4111
WV,25108,Hewett,Boone,37.9581,-81.8509
VA,23944,Kenbridge,Lunenburg,36.933,-78.1242
PA,16744,Rew,McKean,41.8783,-78.5572
MO,65705,Marionville,Lawrence,37.0009,-93.6413
NY,13666,Newton Falls,St. Lawrence,44.2177,-74.9423
SC,29641,Easley,Pickens,34.8135,-82.6531
MA,2191,North Weymouth,Norfolk,42.2459,-70.9467
SC,29604,Greenville,Greenville,34.8497,-82.4538
GA,30331,Atlanta,Fulton,33.7224,-84.5205
TX,76624,Axtell,McLennan,31.661,-96.9882
OK,73646,Fay,Dewey,35.8204,-98.6587
IL,62306,Quincy,Adams,39.9356,-91.4099
TN,37353,Mc Donald,Bradley,35.0869,-84.9892
MI,48724,Carrollton,Saginaw,43.4586,-83.9303
NY,14085,Lake View,Erie,42.7215,-78.9327
NY,12058,Earlton,Greene,42.3527,-73.9062
CA,92259,Ocotillo,Imperial,32.7387,-115.9942
GA,30370,Atlanta,Fulton,33.749,-84.388
IN,46779,Pleasant Lake,Steuben,41.5843,-85.0213
PA,19048,Langhorne,Bucks,40.1735,-74.9246
CA,93906,Salinas,Monterey,36.7103,-121.6438
TX,77481,Thompsons,Fort Bend,29.4683,-95.5776
MD,21842,Ocean City,Worcester,38.3365,-75.0849
CA,94531,Antioch,Contra Costa,37.9658,-121.7758
MD,20879,Gaithersburg,Montgomery,39.173,-77.1855
AR,72402,Jonesboro,Craighead,35.8088,-90.6529
OH,45068,Waynesville,Warren,39.5285,-84.0815
NY,10452,Bronx,Bronx,40.8376,-73.9216
VA,23389,Harborton,Accomack,37.6618,-75.8305
GA,30157,Dallas,Paulding,33.9045,-84.8621
WA,99141,Kettle Falls,Stevens,48.6364,-118.0548
CO,80721,Amherst,Phillips,40.6824,-102.1706
AZ,85244,Chandler,Maricopa,33.3213,-111.8888
GA,31119,Atlanta,DeKalb,33.8913,-84.0746
OK,74452,Peggs,Cherokee,36.1154,-95.1199
KS,67953,Richfield,Morton,37.2834,-101.7004
IL,60141,Hines,Cook,41.8623,-87.8355
WV,25123,Leon,Mason,38.7048,-81.9145
TX,78756,Austin,Travis,30.3223,-97.739
PA,17080,Pillow,Dauphin,40.6392,-76.8029
TN,38055,Millington,Shelby,35.3415,-89.8973
NC,28394,Vass,Moore,35.2171,-79.2562
MO,63336,Clarksville,Pike,39.3465,-90.9362
OH,45475,Dayton,Montgomery,39.7505,-84.2686
WI,54454,Milladore,Wood,44.6044,-89.8875
NY,12520,Cornwall On Hudson,Orange,41.433,-74.0061
IN,46534,Knox,Starke,41.2809,-86.6082
OK,73044,Guthrie,Logan,35.833,-97.436
NJ,7860,Newton,Sussex,41.0695,-74.8069
CA,93716,Fresno,Fresno,36.7464,-119.6397
OH,44056,Macedonia,Summit,41.3222,-81.4996
CA,96086,Seiad Valley,Siskiyou,41.8866,-123.2438
WA,99371,Washtucna,Adams,46.8209,-118.2862
IL,61088,Winnebago,Winnebago,42.2727,-89.2373
MA,1961,Peabody,Essex,42.6354,-70.8791
WI,53157,Pell Lake,Walworth,42.54,-88.3582
CA,90302,Inglewood,Los Angeles,33.9745,-118.3548
CA,93312,Bakersfield,Kern,35.3935,-119.1205
KS,67761,Wallace,Wallace,38.8747,-101.5735
PA,19611,Reading,Berks,40.325,-75.9442
IL,60613,Chicago,Cook,41.9543,-87.6575
PA,18240,Nesquehoning,Carbon,40.8626,-75.8239
OR,97844,Irrigon,Morrow,45.8877,-119.507
MO,63942,Gatewood,Ripley,36.5626,-91.0703
MO,63446,Knox City,Knox,40.1384,-92.0077
AL,36701,Selma,Dallas,32.4197,-87.0245
WI,53825,Stitzer,Grant,42.9214,-90.6079
MO,63953,Naylor,Ripley,36.5843,-90.6124
CA,95319,Empire,Stanislaus,37.6382,-120.9005
MD,21052,Fort Howard,Baltimore,39.207,-76.4456
TN,37222,Nashville,Davidson,36.1659,-86.7844
KY,40047,Mount Washington,Bullitt,38.0452,-85.5586
IA,51246,Rock Rapids,Lyon,43.4272,-96.1781
MO,63373,Portage Des Sioux,Saint Charles,38.9259,-90.3863
VA,23139,Powhatan,Powhatan,37.5421,-77.9189
MT,59623,Helena,Lewis and Clark,46.5901,-112.0402
CA,93430,Cayucos,San Luis Obispo,35.4446,-120.8908
OH,44888,Willard,Huron,41.0531,-82.7263
OK,74193,Tulsa,Tulsa,36.1398,-96.0297
GA,30253,Mcdonough,Henry,33.451,-84.1544
ID,83806,Bovill,Latah,46.8588,-116.3935
CA,95724,Norden,Nevada,39.2966,-120.4317
AK,99603,Homer,Kenai Peninsula,59.5374,-151.2356
CA,96078,Proberta,Tehama,40.0815,-122.1705
KY,40730,Emlyn,Whitley,36.7039,-84.1415
IL,62953,Joppa,Massac,37.2092,-88.8442
IA,50567,Nemaha,Sac,42.518,-95.0939
ND,58722,Burlington,Ward,48.2735,-101.4282
OH,43983,Piedmont,Belmont,40.1507,-81.2145
GA,30669,Union Point,Greene,33.6345,-83.0879
MA,1302,Greenfield,Franklin,42.5222,-72.6242
IN,46347,Kouts,Porter,41.3091,-87.024
IL,62414,Beecher City,Effingham,39.1835,-88.8038
OH,44820,Bucyrus,Crawford,40.8103,-82.9698
MI,48113,Ann Arbor,Washtenaw,42.2535,-83.8366
PA,17235,Marion,Franklin,39.8587,-77.6981
SC,29080,Lynchburg,Lee,34.0526,-80.0988
NM,88325,High Rolls Mountain Park,Otero,32.9396,-105.8189
KY,40157,Payneville,Meade,38.0301,-86.4082
PA,16328,Hydetown,Crawford,41.6526,-79.727
GA,31079,Rochelle,Wilcox,31.9491,-83.445
UT,84109,Salt Lake City,Salt Lake,40.7043,-111.8142
WI,54909,Almond,Portage,44.2898,-89.3584
IN,46783,Roanoke,Huntington,40.96,-85.3526
HI,96747,Kaumakani,Kauai,21.9213,-159.6241
NH,3446,Swanzey,Cheshire,42.8411,-72.3301
IL,62568,Taylorville,Christian,39.5489,-89.2945
WI,54929,Clintonville,Waupaca,44.6364,-88.743
WA,99214,Spokane,Spokane,47.6536,-117.4317
MN,55902,Rochester,Olmsted,44.0032,-92.4835
ND,58357,Oberon,Benson,47.9487,-99.1401
WA,98344,Kapowsin,Pierce,46.9899,-122.2226
NY,13807,Milford,Otsego,42.6148,-74.9685
KY,40810,Bledsoe,Harlan,36.934,-83.3242
WI,53082,Sheboygan,Sheboygan,43.7183,-87.6187
IA,50255,Thornburg,Keokuk,41.4547,-92.3357
IL,62282,Saint Libory,St. Clair,38.3632,-89.7139
NC,28724,Dana,Henderson,35.3293,-82.3754
WV,24848,Jenkinjones,McDowell,37.2937,-81.4259
ID,83520,Ahsahka,Clearwater,46.5394,-116.3233
WV,24816,Big Sandy,McDowell,37.4643,-81.6982
IL,62065,Michael,Calhoun,39.2353,-90.6235
TN,37381,Spring City,Rhea,35.6935,-84.8198
KY,40255,Louisville,Jefferson,38.189,-85.6768
CO,81523,Glade Park,Mesa,38.9894,-108.781
KY,41666,Wayland,Floyd,37.4367,-82.801
HI,96809,Honolulu,Honolulu,21.3062,-157.8585
IL,62513,Blue Mound,Macon,39.6978,-89.1136
FL,32891,Orlando,Orange,28.5663,-81.2608
FL,33355,Fort Lauderdale,Broward,26.1223,-80.1434
NE,68026,Fremont,Dodge,41.4333,-96.4981
AZ,85308,Glendale,Maricopa,33.6539,-112.1694
FL,34450,Inverness,Citrus,28.834,-82.2822
NY,12974,Port Henry,Essex,44.0465,-73.4705
AL,36869,Phenix City,Russell,32.4204,-85.0796
CA,95472,Sebastopol,Sonoma,38.3941,-122.8433
NY,12466,Port Ewen,Ulster,41.8948,-73.9767
MN,55595,Loretto,Hennepin,45.0159,-93.4719
AK,99658,Saint Marys,Kusilvak,62.1172,-163.2376
CA,90260,Lawndale,Los Angeles,33.8879,-118.351
IL,60474,South Wilmington,Grundy,41.1728,-88.2767
TX,78027,Kendalia,Kendall,29.9406,-98.5166
CA,95899,Sacramento,Sacramento,38.5383,-121.5549
IL,62670,New Berlin,Sangamon,39.7681,-89.855
IA,50099,Boone,Boone,42.0597,-93.8802
CA,93645,O Neals,Madera,37.1639,-119.6652
OH,43780,Senecaville,Guernsey,39.9337,-81.458
SD,57791,Wasta,Pennington,44.225,-102.4311
CA,90410,Santa Monica,Los Angeles,34.0195,-118.4912
CO,80459,Kremmling,Grand,40.0632,-106.3955
MN,56171,Sherburn,Martin,43.6611,-94.7269
NC,27656,Raleigh,Wake,35.7977,-78.6253
MI,49345,Sparta,Kent,43.1619,-85.6877
IL,62560,Raymond,Montgomery,39.3106,-89.5851
IL,62894,Waltonville,Jefferson,38.2089,-89.039
TN,37190,Woodbury,Cannon,35.8143,-86.05
IL,60457,Hickory Hills,Cook,41.7262,-87.8289
IA,50591,Thor,Humboldt,42.6889,-94.039
MA,2114,Boston,Suffolk,42.3611,-71.0682
WA,99326,Connell,Franklin,46.6643,-118.8545
SC,29386,White Stone,Spartanburg,34.8882,-81.969
UT,84158,Salt Lake City,Salt Lake,40.769,-111.7621
AR,72072,Humnoke,Lonoke,34.4857,-91.7624
MN,55601,Beaver Bay,Lake,47.256,-91.3566
OR,97451,Lorane,Lane,43.829,-123.2477
IN,46982,Silver Lake,Kosciusko,41.0743,-85.8792
NC,28422,Bolivia,Brunswick,34.026,-78.1681
PA,19415,Eagleville,Montgomery,40.1572,-75.406
PA,18036,Coopersburg,Lehigh,40.5076,-75.3888
GA,39854,Georgetown,Clay,31.8854,-85.1059
IN,47561,Oaktown,Knox,38.8579,-87.3879
VA,24538,Concord,Campbell,37.337,-78.9804
LA,70808,Baton Rouge,East Baton Rouge Parish,30.4066,-91.1468
NC,28203,Charlotte,Mecklenburg,35.2081,-80.8583
CT,6351,Jewett City,New London,41.6052,-71.9808
MI,49404,Coopersville,Ottawa,43.0601,-85.9517
IA,51461,Schleswig,Crawford,42.1646,-95.4443
AL,35487,Tuscaloosa,Tuscaloosa,33.3072,-87.5859
MA,1603,Worcester,Worcester,42.245,-71.838
IA,50071,Dows,Wright,42.661,-93.5058
ND,58847,Keene,McKenzie,47.9405,-102.8906
NY,14480,Lakeville,Livingston,42.8296,-77.7149
KS,67445,Glasco,Cloud,39.3621,-97.8418
PA,15660,Lowber,Westmoreland,40.2459,-79.7709
CA,90650,Norwalk,Los Angeles,33.9056,-118.0818
MO,64771,Moundville,Vernon,37.7476,-94.4496
MI,49343,Sand Lake,Kent,43.2981,-85.5367
NE,68860,Oconto,Custer,41.1411,-99.7632
IL,60180,Union,McHenry,42.2103,-88.5283
OK,73101,Oklahoma City,Oklahoma,35.4916,-97.5628
TX,77515,Angleton,Brazoria,29.181,-95.4467
PA,15562,Springs,Somerset,39.748,-79.1237
KY,40512,Lexington,Fayette,38.0283,-84.4715
MI,49836,Germfask,Schoolcraft,46.2363,-85.9159
TX,78516,Alamo,Hidalgo,26.1906,-98.1164
KS,66609,Topeka,Shawnee,38.9919,-95.6681
AR,71724,Calion,Union,33.3261,-92.5464
TX,77842,College Station,Brazos,30.6521,-96.341
NC,27306,Mount Gilead,Montgomery,35.2274,-79.9871
TX,78656,Maxwell,Caldwell,29.8953,-97.8144
MS,38732,Cleveland,Bolivar,33.743,-90.7309
NE,68777,Spencer,Boyd,42.8849,-98.7059
AK,99657,Russian Mission,Kusilvak,61.7744,-161.3939
VA,23804,Petersburg,Petersburg (city),37.2048,-77.3928
NC,28428,Carolina Beach,New Hanover,34.0366,-77.8963
IA,52729,Calamus,Clinton,41.8111,-90.7416
VA,24464,Montebello,Nelson,37.8654,-79.0804
IL,60304,Oak Park,Cook,41.8725,-87.7877
MT,59117,Billings,Yellowstone,45.7833,-108.5007
FL,33334,Fort Lauderdale,Broward,26.1845,-80.1344
MS,39565,Vancleave,Jackson,30.5405,-88.6875
AL,35407,Tuscaloosa,Tuscaloosa,33.3066,-87.4532
AZ,85296,Gilbert,Maricopa,33.3354,-111.7406
NE,68644,Lindsay,Platte,41.6926,-97.6711
CA,92350,Loma Linda,San Bernardino,34.0483,-117.2612
MN,56020,Conger,Freeborn,43.621,-93.5482
CA,93240,Lake Isabella,Kern,35.669,-118.457
NY,13042,Cleveland,Oswego,43.2432,-75.8537
MT,59859,Plains,Sanders,47.4734,-114.893
KS,67109,Mullinville,Kiowa,37.5716,-99.4639
NY,12477,Saugerties,Ulster,42.0738,-73.9797
OK,74502,Mcalester,Pittsburg,34.9334,-95.7697
SC,29129,Ridge Spring,Saluda,33.8714,-81.6559
FL,33540,Zephyrhills,Pasco,28.2151,-82.1506
GA,31308,Ellabell,Bryan,32.1273,-81.4983
SC,29033,Cayce,Lexington,33.9626,-81.0671
CA,93534,Lancaster,Los Angeles,34.6909,-118.1491
MD,20637,Hughesville,Charles,38.5207,-76.7817
IN,47270,Paris Crossing,Jennings,38.8558,-85.7487
IL,60701,Chicago,Cook,41.8119,-87.6873
FL,32569,Mary Esther,Okaloosa,30.4085,-86.7352
MI,49246,Horton,Jackson,42.1191,-84.4976
TN,38547,Brush Creek,Smith,36.1107,-86.0203
ME,4413,Brookton,Washington,45.5507,-67.7436
NY,10977,Spring Valley,Rockland,41.1158,-74.0474
NY,10005,New York,New York,40.7056,-74.0083
WI,54473,Rosholt,Portage,44.6622,-89.3356
CA,92328,Death Valley,Inyo,36.4672,-116.8937
TX,75778,Murchison,Henderson,32.3257,-95.7737
OK,73162,Oklahoma City,Oklahoma,35.5806,-97.6419
IA,52543,Cedar,Mahaska,41.2121,-92.509
GA,30260,Morrow,Clayton,33.5849,-84.3247
AZ,85282,Tempe,Maricopa,33.3917,-111.9249
AL,36439,Excel,Monroe,31.4279,-87.3414
MS,38929,Gore Springs,Grenada,33.7245,-89.5754
IL,62059,Lovejoy,St. Clair,38.44,-89.9835
MI,49311,Bradley,Allegan,42.633,-85.643
CO,80801,Anton,Washington,39.6909,-103.1373
CA,91903,Alpine,San Diego,32.8351,-116.7664
NJ,8004,Atco,Camden,39.76,-74.8665
IN,47831,Blanford,Vermillion,39.665,-87.5206
TN,37354,Madisonville,Monroe,35.4916,-84.3395
NY,12986,Tupper Lake,Franklin,44.232,-74.4905
OK,73557,Medicine Park,Comanche,34.7292,-98.5026
CA,95527,Burnt Ranch,Trinity,40.7897,-123.4113
NC,28580,Snow Hill,Greene,35.4438,-77.6956
VT,5743,Fair Haven,Rutland,43.6234,-73.2701
NC,28656,North Wilkesboro,Wilkes,36.2384,-81.046
MT,59273,Vandalia,Valley,48.3547,-106.9098
PA,16002,Butler,Butler,40.8409,-79.8592
WI,53803,Benton,Lafayette,42.5545,-90.3508
MI,49963,South Range,Houghton,47.0719,-88.652
AK,99812,Juneau,Juneau City and Borough,58.3271,-134.4742
SC,29520,Cheraw,Chesterfield,34.6863,-79.9174
AL,36343,Gordon,Houston,31.1002,-85.1234
NY,11358,Flushing,Queens,40.7606,-73.7968
MI,49706,Alanson,Emmet,45.4405,-84.7924
TN,38481,Saint Joseph,Lawrence,35.0376,-87.5018
NY,14476,Kendall,Orleans,43.3284,-78.0304
IL,62988,Tamms,Alexander,37.2345,-89.2763
IL,61944,Paris,Edgar,39.6132,-87.6976
UT,84005,Eagle Mountain,Utah,40.3802,-111.991
CA,95929,Chico,Butte,39.7301,-121.8414
CO,81328,Mancos,Montezuma,37.3471,-108.2982
OH,43402,Bowling Green,Wood,41.3815,-83.6507
CT,6461,Milford,New Haven,41.2338,-73.0747
MT,59011,Big Timber,Sweet Grass,45.8283,-109.9631
NH,3894,Wolfeboro,Carroll,43.595,-71.1908
CA,91390,Santa Clarita,Los Angeles,34.4684,-118.5261
NC,28740,Green Mountain,Yancey,35.9956,-82.2879
VA,23885,Sutherland,Dinwiddie,37.1901,-77.5655
AR,71840,Genoa,Miller,33.3837,-93.9096
NJ,7514,Paterson,Passaic,40.9248,-74.1467
LA,71355,Moreauville,Avoyelles,31.0988,-91.8748
IL,62441,Marshall,Clark,39.422,-87.6923
CA,92028,Fallbrook,San Diego,33.369,-117.229
CA,94064,Redwood City,San Mateo,37.3811,-122.3348
KY,42503,Somerset,Pulaski,37.1566,-84.5248
VA,23027,Cartersville,Cumberland,37.6479,-78.1389
MI,49099,White Pigeon,St. Joseph,41.7929,-85.675
NY,12503,Ancramdale,Columbia,42.0381,-73.5819
WY,82063,Jelm,Albany,41.0578,-106.0133
TN,37015,Ashland City,Cheatham,36.2731,-87.0447
MI,49938,Ironwood,Gogebic,46.4638,-90.1588
PA,18077,Riegelsville,Bucks,40.5782,-75.2191
AL,35988,Sylvania,DeKalb,34.559,-85.7921
TX,77271,Houston,Harris,29.834,-95.4342
NM,87323,Thoreau,McKinley,35.3976,-108.1604
IN,46809,Fort Wayne,Allen,41.0254,-85.1834
OK,74457,Proctor,Adair,36.0308,-94.7613
NY,14047,Derby,Erie,42.6974,-78.9834
TN,38025,Dyersburg,Dyer,36.0345,-89.3856
MI,49910,Bergland,Ontonagon,46.5881,-89.5973
CA,92187,San Diego,San Diego,32.7153,-117.1573
GA,30318,Atlanta,Fulton,33.7865,-84.4454
TX,78234,Jbsa Ft Sam Houston,Bexar,29.4241,-98.4936
CA,95954,Magalia,Butte,39.8912,-121.58
IN,47441,Linton,Greene,39.0461,-87.1723
MN,55609,Knife River,Lake,46.9539,-91.778
MD,21032,Crownsville,Anne Arundel,39.0489,-76.5935
WA,99158,Oakesdale,Whitman,47.1282,-117.2427
NV,89020,Amargosa Valley,Nye,36.539,-116.5496
TX,79754,Mentone,Loving,31.7068,-103.5988
PA,16301,Oil City,Venango,41.4319,-79.6916
NM,87025,Jemez Springs,Sandoval,35.8927,-106.7714
CO,81435,Telluride,San Miguel,37.94,-107.8214
WA,98124,Seattle,King,47.6062,-122.3321
DE,19970,Ocean View,Sussex,38.5617,-75.0966
OR,97292,Portland,Multnomah,45.5235,-122.6762
NY,14171,West Valley,Cattaraugus,42.4315,-78.628
GA,30542,Flowery Branch,Hall,34.1819,-83.9024
CT,6104,Hartford,Hartford,41.7918,-72.7188
MO,65567,Stoutland,Camden,37.8693,-92.5114
MO,64097,Wellington,Lafayette,39.1258,-93.9855
KS,67356,Oswego,Labette,37.1823,-95.1335
VA,24347,Hiwassee,Pulaski,36.9756,-80.6695
NJ,8025,Ewan,Gloucester,39.7015,-75.1629
PA,16210,Adrian,Armstrong,40.9049,-79.5074
ND,58216,Bathgate,Pembina,48.8686,-97.4832
UT,84089,Clearfield,Davis,40.9635,-112.116
MO,63951,Lowndes,Wayne,37.1343,-90.2544
FL,32142,Palm Coast,Flagler,29.4661,-81.2828
PA,15698,Yukon,Westmoreland,40.2155,-79.6849
NC,27980,Tyner,Chowan,36.2502,-76.6428
TX,88553,El Paso,El Paso,31.6948,-106.3
WV,24935,Forest Hill,Summers,37.5608,-80.8111
NE,68722,Butte,Boyd,42.9124,-98.8459
AZ,85261,Scottsdale,Maricopa,33.5092,-111.899
IL,62571,Tower Hill,Shelby,39.39,-88.9597
CO,80105,Deer Trail,Arapahoe,39.5931,-104.068
KY,42516,Bethelridge,Casey,37.2337,-84.7583
MO,65753,Sparta,Christian,36.9775,-93.1065
TX,77364,Pointblank,San Jacinto,30.7593,-95.2295
MO,64496,Watson,Atchison,40.478,-95.6193
IL,62866,Nason,Jefferson,38.1654,-88.9676
CA,93258,Porterville,Tulare,36.0331,-119.0073
AZ,85216,Mesa,Maricopa,33.4125,-111.8319
NY,14422,Byron,Genesee,43.0738,-78.0629
UT,84134,Salt Lake City,Salt Lake,40.6681,-111.9083
KS,67155,Wilmore,Comanche,37.3318,-99.1846
MS,39501,Gulfport,Harrison,30.3826,-89.0976
CA,94942,Mill Valley,Marin,37.906,-122.545
NY,14059,Elma,Erie,42.834,-78.6343
TX,75572,Queen City,Cass,33.1557,-94.1537
MT,59044,Laurel,Yellowstone,45.6745,-108.769
DC,20219,Washington,District of Columbia,38.8933,-77.0146
GA,30673,Washington,Wilkes,33.7265,-82.7429
PA,19103,Philadelphia,Philadelphia,39.9513,-75.1741
AL,36530,Elberta,Baldwin,30.3942,-87.589
IN,46360,Michigan City,LaPorte,41.698,-86.8699
PA,18232,Lansford,Carbon,40.8314,-75.8828
TX,79345,Meadow,Terry,33.3321,-102.2492
IL,60124,Elgin,Kane,42.0293,-88.3747
TX,76714,Waco,McLennan,31.5536,-97.2032
